Time;Location
10/07/03 18:14;46.6666938,24.8351725
10/07/03 18:14;46.6666933,24.8351737
10/07/03 18:14;46.666693,24.8351745
10/07/03 18:14;46.666693,24.8351738
10/07/03 18:14;46.666693,24.8351735
10/07/03 18:14;46.6666928,24.8351732
10/07/03 18:14;46.6666913,24.8351768
10/07/03 18:14;46.6666897,24.8351807
10/07/03 18:14;46.6666878,24.8351848
10/07/03 18:14;46.6666847,24.8351902
10/07/03 18:14;46.6666827,24.8351952
10/07/03 18:14;46.6666845,24.8351898
10/07/03 18:14;46.6666868,24.8351828
10/07/03 18:14;46.6666877,24.8351785
10/07/03 18:14;46.6666867,24.8351822
10/07/03 18:14;46.6666882,24.8351798
10/07/03 18:14;46.666687,24.8351838
10/07/03 18:14;46.6666882,24.8351827
10/07/03 18:14;46.666689,24.8351802
10/07/03 18:14;46.6666915,24.8351732
10/07/03 18:14;46.6666915,24.835173
10/07/03 18:14;46.6666893,24.8351792
10/07/03 18:14;46.666691,24.8351755
10/07/03 18:14;46.6666925,24.8351722
10/07/03 18:14;46.6666932,24.8351707
10/07/03 18:14;46.6666942,24.835168
10/07/03 18:14;46.666692,24.8351745
10/07/03 18:14;46.6666917,24.8351755
10/07/03 18:14;46.6666917,24.8351763
10/07/03 18:14;46.6666985,24.8351573
10/07/03 18:14;46.6666995,24.8351547
10/07/03 18:14;46.6667025,24.8351465
10/07/03 18:14;46.6667075,24.8351337
10/07/03 18:14;46.6667143,24.8351147
10/07/03 18:13;46.666713,24.8351183
10/07/03 18:13;46.6667143,24.8351143
10/07/03 18:13;46.6667152,24.835111
10/07/03 18:13;46.6667113,24.8351207
10/07/03 18:13;46.6667025,24.8351445
10/07/03 18:13;46.6667012,24.8351485
10/07/03 18:13;46.6667012,24.8351477
10/07/03 18:13;46.6666997,24.835152
10/07/03 18:13;46.6666993,24.8351535
10/07/03 18:13;46.6667005,24.835151
10/07/03 18:13;46.6666995,24.8351547
10/07/03 18:13;46.6666997,24.8351543
10/07/03 18:13;46.6667013,24.8351505
10/07/03 18:13;46.6667018,24.8351498
10/07/03 18:13;46.6667048,24.8351425
10/07/03 18:13;46.6667075,24.8351363
10/07/03 18:13;46.66671,24.8351302
10/07/03 18:13;46.6667077,24.8351367
10/07/03 18:13;46.6667067,24.8351392
10/07/03 18:13;46.6667045,24.835145699999998
10/07/03 18:13;46.6667077,24.835138
10/07/03 18:13;46.6667055,24.8351452
10/07/03 18:13;46.6667067,24.8351422
10/07/03 18:13;46.6667093,24.8351355
10/07/03 18:13;46.6667167,24.8351158
10/07/03 18:13;46.6667182,24.8351123
10/07/03 18:13;46.6667185,24.835112
10/07/03 18:13;46.6667175,24.8351143
10/07/03 18:13;46.6667177,24.8351137
10/07/03 18:13;46.6667178,24.8351132
10/07/03 18:13;46.6667193,24.8351095
10/07/03 18:13;46.66672,24.8351083
10/07/03 18:13;46.6667195,24.8351102
10/07/03 18:13;46.6667178,24.8351142
10/07/03 18:13;46.6667168,24.8351173
10/07/03 18:13;46.6667167,24.8351188
10/07/03 18:13;46.6667168,24.8351195
10/07/03 18:13;46.6667172,24.8351208
10/07/03 18:13;46.6667178,24.8351198
10/07/03 18:13;46.666718,24.8351207
10/07/03 18:13;46.6667183,24.8351202
10/07/03 18:13;46.6667187,24.8351207
10/07/03 18:13;46.666719,24.8351208
10/07/03 18:13;46.6667195,24.8351203
10/07/03 18:13;46.6667202,24.8351198
10/07/03 18:13;46.6667207,24.83512
10/07/03 18:13;46.6667218,24.8351188
10/07/03 18:13;46.6667225,24.8351177
10/07/03 18:12;46.6667228,24.835117
10/07/03 18:12;46.6667232,24.8351165
10/07/03 18:12;46.6667237,24.8351168
10/07/03 18:12;46.6667242,24.835116
10/07/03 18:12;46.6667252,24.8351158
10/07/03 18:12;46.6667257,24.8351152
10/07/03 18:12;46.6667258,24.8351147
10/07/03 18:12;46.6667262,24.8351145
10/07/03 18:12;46.6667267,24.8351138
10/07/03 18:12;46.6667268,24.8351132
10/07/03 18:12;46.6667268,24.8351133
10/07/03 18:12;46.666727,24.8351143
10/07/03 18:12;46.666727,24.8351143
10/07/03 18:12;46.6667268,24.8351148
10/07/03 18:12;46.6667268,24.8351157
10/07/03 18:12;46.6667268,24.835117
10/07/03 18:12;46.6667265,24.8351193
